compound_name,MARS_C03_000m_1,MARS_C03_000m_2,MARS_C03_000m_3,MARS_C10_000m_1,MARS_C10_000m_2,MARS_C10_000m_3,MARS_C12_000m_1,MARS_C12_000m_2,MARS_C12_000m_3,MARS_C15_000m_1,MARS_C15_000m_2,MARS_C15_000m_3,MARS_C18_000m_1,MARS_C18_000m_2,MARS_C18_000m_3,MARS_C21_000m_1,MARS_C21_000m_2,MARS_C21_000m_3,MARS_C25_000m_1,MARS_C25_000m_2,MARS_C25_000m_3,MARS_C29_000m_1,MARS_C29_000m_2,MARS_C29_000m_3,MARS_C34_000m_1,MARS_C34_000m_2,MARS_C34_000m_3,MARS_C38_000m_1,MARS_C38_000m_2,MARS_C38_000m_3
"DAG 22:0,MAG 22:1 +1O",2327090.36,1469785.12,2064034.38,6226462.43,5706505.24,7086630.43,182333.48,245977.42,168971.7,2122621.02,1725988.89,1297901.5,618318.95,379081.44,557850.34,1583859.43,2644784.63,1668661.77,1067547.53,1305674.47,1265054.71,0,0,0,0,0,0,764540.42,1032258.79,1201137.79
"DAG 22:2 +1O,MAG 22:3 +2O,LDGTS_DGTA 15:1",4540665.5,4024328.87,3084702.9,18043250.29,15445996.85,17414898.35,1195517.21,669200.26,1277002.68,13438595.07,12068305.49,9291289.07,2408523.62,2134745.09,1571370.52,4111976.33,5264205.06,3676647.55,2449463.16,1672887.73,2128706.35,0,0,0,0,0,0,303226.19,548784.35,1031343.19
"DAG 24:4 +4O,LMGDG 18:4",81693936.31,75950172.15,74507552.79,236911366.8,207923809.4,233459459.3,34119503.06,28859956.7,33062548.44,111657143,118380454.4,94251398.41,39086563.27,86099088.01,40443120.92,70038746.66,73711270.67,61886455.25,18960337.96,17510770.88,19440724.62,6430513.27,7826354.76,6948680.01,2652434.63,2652672.33,3078740.1,14446106.92,14801202.95,18468963.64
DAG 36:0 +1O,1479029.87,860360.34,1451502.27,4996828.43,3842738.58,3618634.47,473351.52,220561.48,341203.24,1510955.27,1384021.19,892892.66,266522.18,712565.68,182867.19,1746134.47,1194132.09,1396608.61,1017806.79,835720.07,915478.97,0,0,0,0,0,0,452610.76,648188.89,1041635.06
DAG 36:0_RT:15.19,397252363,351180798.6,341022569.3,1638842161,1395023783,1242514073,103658536.2,83341548.61,88264805.28,478945984.1,534816934.1,323932194.8,156566223,258379371.5,143987297,437186816.9,463374776,357955132.1,296714189.7,199074723.1,306976211.5,0,0,0,0,0,0,187942741.8,251287468,276463611.5
DAG 36:0_RT:16.05,18644260.69,15246801.69,20205714.59,136858486,128137916.8,118968241.3,1232688.88,3971963.22,1524732.8,41800495.39,38196834.5,28555016.82,12888156.33,6930753.81,11694802.87,25630713,29909120.96,63724829.17,20138740.65,12843068.46,19288754.31,0,0,0,0,0,0,15404604.05,16088767.42,9117361.94
DAG 36:1,42487370.68,32251813.45,37082955.97,160114367.4,133502840.1,141743197.2,6422277.03,3565438.98,3705836.78,37923776.35,43463463.01,26811095.38,18121134.02,20411759.2,14849421.19,42946293.1,52968859.07,45928680.94,21802481.53,23057164.22,28149205.96,0,0,0,0,0,0,25812466.24,29046836.81,22506697.51
DAG 38:0,68043740.47,47046240.07,42037794.71,166232270.4,130639534.6,207463208.9,17363145.69,15862185.93,22590154.13,87864678.14,78996253.46,55336002.95,901809.32,44329624.09,4649382.08,67805087.53,57533759.04,56853282.28,96619349.98,236615424.1,80037327.55,1021715.64,4577853.9,2695276.91,7019717.78,3714527.89,1769032.54,3355259.72,6939757.05,28837768.29
DAG 40:10,258609063.8,249986684.9,212402320,167019609.9,144751427,143728312.4,52093736.93,59315640.48,49772325.16,134421011.9,129525991.8,111947997.5,40802206.37,120747701.7,38644067.81,152177022.1,133310199.9,109481366.4,34633954.36,27721447.22,33908600.03,7672389.78,10992322.84,8572590.01,1531098.05,5910643.43,6993059.09,13023850.77,12044353.78,15765657.87
"DAG 40:5 +4O,TAG 40:4 +3O",13682831.4,10896807.98,11704410.37,45477045.74,41780647.49,44161684.55,6912947.24,6812609.25,6876613.85,29034445.49,29578508.79,26551053.92,13381845.43,23357631.79,10502270.05,32512059.81,30450520.21,26919507.13,6900682.73,6769607.45,6578393.8,2797401.87,3566743,3132957.95,1944675.64,1726066.63,1991007.67,6273906.66,5985943.18,6883068.46
